Mic,light,mQ135,temprature,humidity,situation
838,348,212,23,32,H
839,336,213,26,39,H
839,327,213,26,39,H
839,319,213,26,39,H
839,311,213,26,39,H
840,306,214,26,39,H
840,302,214,26,39,H
838,299,213,26,39,H
838,297,212,23,32,H
839,295,213,26,39,H
842,295,213,26,39,H
838,296,213,26,39,H
838,295,212,26,39,H
840,293,213,26,39,H
838,292,213,23,32,H
839,287,212,26,39,H
839,284,212,26,39,H
839,280,212,26,39,H
839,276,212,26,39,H
839,270,212,26,38,H
839,265,212,26,39,H
838,260,212,26,39,H
837,256,210,26,39,H
838,252,211,26,39,H
838,248,211,26,38,H
839,247,212,26,39,H
840,244,212,26,39,H
838,242,210,26,39,H
840,240,211,25,39,H
838,239,210,25,39,H
840,237,212,25,39,H
840,236,212,22,34,H
839,235,212,25,39,H
839,233,211,22,34,H
839,230,212,26,39,H
840,229,212,26,39,H
839,224,211,26,39,H
839,222,211,26,38,H
838,222,211,23,32,H
839,219,211,26,38,H
838,222,211,26,38,H
839,220,211,26,38,H
840,218,212,26,38,H
839,215,211,26,38,H
840,211,211,23,31,H
840,207,211,23,31,H
839,204,209,26,38,H
839,200,211,26,38,H
839,198,208,26,38,H
841,195,210,22,32,H
841,196,210,22,33,H
840,194,211,22,33,H
839,193,210,22,33,H
840,190,209,23,31,H
840,191,210,23,32,H
840,189,210,23,31,H
841,187,210,26,38,H
840,185,210,23,31,H
840,186,211,23,31,H
840,185,210,23,31,H
840,184,209,26,38,H
840,184,209,25,38,H
841,186,209,22,32,H
840,184,209,25,38,H
840,183,208,23,31,H
840,182,209,22,32,H
840,180,210,25,38,H
840,179,209,26,38,H
840,180,209,23,31,H
840,181,209,23,31,H
840,183,209,23,31,H
839,186,208,25,38,H
840,188,209,26,38,H
840,188,209,25,38,H
839,189,209,25,38,H
840,188,208,22,32,H
838,187,206,25,38,H
840,186,208,26,38,H
840,184,208,25,38,H
838,185,209,22,32,H
839,186,208,22,32,H
839,187,208,26,38,H
840,188,208,22,31,H
839,191,206,22,32,H
840,192,209,23,31,H
838,194,208,23,31,H
839,198,208,25,38,H
839,201,208,22,32,H
838,204,206,23,31,H
838,206,206,23,30,H
839,209,208,26,38,H
839,209,208,26,38,H
